Run started at Thu Apr 17 04:56:17 AM UTC 2025
Running ogbn-arxiv | lr=0.01 | k=1
Using device: cuda:0
dataset ogbn-arxiv | num nodes 169343 | num edge 1166243 | num node feats 128 | num classes 40
dataset ogbn-arxiv | train nodes 90941 | valid nodes 29799 | test nodes 48603
Results will be saved to ./logs/ogbn-arxiv/RK4_19.
Starting run 1/1...
run: 01, step: 24.60, train acc: 88.49, val acc: 62.49, test acc: 61.70
run: 01, step: 25.20, train acc: 88.50, val acc: 62.49, test acc: 61.70
run: 01, step: 25.80, train acc: 88.50, val acc: 62.48, test acc: 61.70
run: 01, step: 26.40, train acc: 88.50, val acc: 62.48, test acc: 61.69
run: 01, step: 26.80, train acc: 88.50, val acc: 62.48, test acc: 61.68
run: 01, step: 27.00, train acc: 88.49, val acc: 62.47, test acc: 61.69
run: 01, step: 27.20, train acc: 88.50, val acc: 62.47, test acc: 61.68
run: 01, step: 27.60, train acc: 88.49, val acc: 62.46, test acc: 61.68
run: 01, step: 27.80, train acc: 88.50, val acc: 62.47, test acc: 61.68
run: 01, step: 28.00, train acc: 88.49, val acc: 62.46, test acc: 61.68
run: 01, step: 28.80, train acc: 88.49, val acc: 62.45, test acc: 61.68
run: 01, step: 29.40, train acc: 88.49, val acc: 62.45, test acc: 61.67
run: 01, step: 29.60, train acc: 88.49, val acc: 62.45, test acc: 61.66
run: 01, step: 30.80, train acc: 88.49, val acc: 62.45, test acc: 61.65
run: 01, step: 31.00, train acc: 88.49, val acc: 62.44, test acc: 61.65
run: 01, step: 31.20, train acc: 88.49, val acc: 62.45, test acc: 61.64
run: 01, step: 31.40, train acc: 88.49, val acc: 62.44, test acc: 61.64
run: 01, step: 31.80, train acc: 88.49, val acc: 62.43, test acc: 61.64
run: 01, step: 32.00, train acc: 88.49, val acc: 62.43, test acc: 61.63
run: 01, step: 32.80, train acc: 88.48, val acc: 62.42, test acc: 61.63
run: 01, step: 34.00, train acc: 88.48, val acc: 62.41, test acc: 61.63
run: 01, step: 34.40, train acc: 88.47, val acc: 62.41, test acc: 61.63
run: 01, step: 34.60, train acc: 88.47, val acc: 62.40, test acc: 61.63
run: 01, step: 35.00, train acc: 88.47, val acc: 62.40, test acc: 61.62
run: 01, step: 35.20, train acc: 88.47, val acc: 62.39, test acc: 61.62
run: 01, step: 35.60, train acc: 88.46, val acc: 62.38, test acc: 61.61
run: 01, step: 35.80, train acc: 88.46, val acc: 62.39, test acc: 61.62
run: 01, step: 36.00, train acc: 88.46, val acc: 62.38, test acc: 61.62
run: 01, step: 36.40, train acc: 88.46, val acc: 62.38, test acc: 61.61
run: 01, step: 37.00, train acc: 88.46, val acc: 62.37, test acc: 61.61
run: 01, step: 37.20, train acc: 88.45, val acc: 62.37, test acc: 61.61
run: 01, step: 37.40, train acc: 88.46, val acc: 62.36, test acc: 61.61
run: 01, step: 38.00, train acc: 88.45, val acc: 62.36, test acc: 61.60
run: 01, step: 38.60, train acc: 88.45, val acc: 62.36, test acc: 61.59
run: 01, step: 38.80, train acc: 88.45, val acc: 62.35, test acc: 61.59
run: 01, step: 39.20, train acc: 88.45, val acc: 62.36, test acc: 61.58
run: 01, step: 39.40, train acc: 88.45, val acc: 62.35, test acc: 61.58
run: 01, step: 39.80, train acc: 88.45, val acc: 62.35, test acc: 61.57
run: 01, step: 40.00, train acc: 88.44, val acc: 62.34, test acc: 61.57
run: 01, step: 40.60, train acc: 88.44, val acc: 62.33, test acc: 61.56
run: 01, step: 41.00, train acc: 88.44, val acc: 62.33, test acc: 61.57
run: 01, step: 41.20, train acc: 88.44, val acc: 62.32, test acc: 61.56
run: 01, step: 41.40, train acc: 88.44, val acc: 62.32, test acc: 61.57
run: 01, step: 41.60, train acc: 88.44, val acc: 62.31, test acc: 61.57
run: 01, step: 41.80, train acc: 88.44, val acc: 62.29, test acc: 61.53
run: 01, step: 42.20, train acc: 88.44, val acc: 62.28, test acc: 61.53
run: 01, step: 42.60, train acc: 88.44, val acc: 62.28, test acc: 61.52
run: 01, step: 42.80, train acc: 88.44, val acc: 62.28, test acc: 61.51
run: 01, step: 43.20, train acc: 88.43, val acc: 62.28, test acc: 61.51
run: 01, step: 43.40, train acc: 88.43, val acc: 62.28, test acc: 61.50
run: 01, step: 43.60, train acc: 88.43, val acc: 62.27, test acc: 61.50
run: 01, step: 43.80, train acc: 88.44, val acc: 62.27, test acc: 61.50
run: 01, step: 44.20, train acc: 88.44, val acc: 62.26, test acc: 61.50
run: 01, step: 44.40, train acc: 88.44, val acc: 62.25, test acc: 61.49
run: 01, step: 44.80, train acc: 88.43, val acc: 62.25, test acc: 61.49
run: 01, step: 45.20, train acc: 88.43, val acc: 62.25, test acc: 61.48
run: 01, step: 45.80, train acc: 88.43, val acc: 62.25, test acc: 61.47
run: 01, step: 46.00, train acc: 88.42, val acc: 62.25, test acc: 61.47
run: 01, step: 46.20, train acc: 88.42, val acc: 62.24, test acc: 61.47
run: 01, step: 46.80, train acc: 88.42, val acc: 62.24, test acc: 61.46
run: 01, step: 47.00, train acc: 88.41, val acc: 62.23, test acc: 61.46
run: 01, step: 47.80, train acc: 88.41, val acc: 62.23, test acc: 61.45
run: 01, step: 48.20, train acc: 88.41, val acc: 62.23, test acc: 61.44
run: 01, step: 48.80, train acc: 88.41, val acc: 62.22, test acc: 61.43
run: 01, step: 49.00, train acc: 88.40, val acc: 62.22, test acc: 61.43
run: 01, step: 49.20, train acc: 88.40, val acc: 62.21, test acc: 61.43
run: 01, step: 49.60, train acc: 88.40, val acc: 62.21, test acc: 61.42
run: 01, step: 49.80, train acc: 88.40, val acc: 62.20, test acc: 61.42
run: 01, step: 50.00, train acc: 88.39, val acc: 62.20, test acc: 61.42
run: 01, step: 50.60, train acc: 88.39, val acc: 62.19, test acc: 61.42
run: 01, step: 50.80, train acc: 88.39, val acc: 62.18, test acc: 61.42
